Index,Result
Wed Sep 12 2018 00:00:00 GMT+0100 (British Summer Time),37
Wed Sep 12 2018 01:00:00 GMT+0100 (British Summer Time),14
Wed Sep 12 2018 02:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 03:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 04:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 05:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 06:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 07:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 08:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 09:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 10:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 11:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 12:00:00 GMT+0100 (British Summer Time),1
Wed Sep 12 2018 13:00:00 GMT+0100 (British Summer Time),2
Wed Sep 12 2018 14:00:00 GMT+0100 (British Summer Time),12
Wed Sep 12 2018 15:00:00 GMT+0100 (British Summer Time),83
Wed Sep 12 2018 16:00:00 GMT+0100 (British Summer Time),61
Wed Sep 12 2018 17:00:00 GMT+0100 (British Summer Time),11
Wed Sep 12 2018 18:00:00 GMT+0100 (British Summer Time),6
Wed Sep 12 2018 19:00:00 GMT+0100 (British Summer Time),9
Wed Sep 12 2018 20:00:00 GMT+0100 (British Summer Time),7
Wed Sep 12 2018 21:00:00 GMT+0100 (British Summer Time),10
Wed Sep 12 2018 22:00:00 GMT+0100 (British Summer Time),31
Wed Sep 12 2018 23:00:00 GMT+0100 (British Summer Time),57
Thu Sep 13 2018 00:00:00 GMT+0100 (British Summer Time),20
Thu Sep 13 2018 01:00:00 GMT+0100 (British Summer Time),12
Thu Sep 13 2018 02:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 03:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 04:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 05:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 06:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 07:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 08:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 09:00:00 GMT+0100 (British Summer Time),1
Thu Sep 13 2018 10:00:00 GMT+0100 (British Summer Time),1
Thu Sep 13 2018 11:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 12:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 13:00:00 GMT+0100 (British Summer Time),0
Thu Sep 13 2018 14:00:00 GMT+0100 (British Summer Time),9
Thu Sep 13 2018 15:00:00 GMT+0100 (British Summer Time),51
Thu Sep 13 2018 16:00:00 GMT+0100 (British Summer Time),67
Thu Sep 13 2018 17:00:00 GMT+0100 (British Summer Time),12
Thu Sep 13 2018 18:00:00 GMT+0100 (British Summer Time),6
Thu Sep 13 2018 19:00:00 GMT+0100 (British Summer Time),7
Thu Sep 13 2018 20:00:00 GMT+0100 (British Summer Time),10
Thu Sep 13 2018 21:00:00 GMT+0100 (British Summer Time),3
Thu Sep 13 2018 22:00:00 GMT+0100 (British Summer Time),32
Thu Sep 13 2018 23:00:00 GMT+0100 (British Summer Time),58
Fri Sep 14 2018 00:00:00 GMT+0100 (British Summer Time),15
Fri Sep 14 2018 01:00:00 GMT+0100 (British Summer Time),36
